hour,rank,zone_id,predicted_count,dominant_violation_type,cis_score,has_junction,priority_tier,formula_version,priority_score
7,1,2,44.56,WRONG PARKING,1.5,1,HIGH,1.0,66.84
7,2,7,5.03,PARKING IN A MAIN ROAD,0.109697,0,LOW,1.0,0.5518
7,3,36,18.16,WRONG PARKING,0.030277,0,LOW,1.0,0.5498
7,4,1,4.49,PARKING IN A MAIN ROAD,0.036384,1,LOW,1.0,0.1634
7,5,29,4.08,NO PARKING,0.038595,1,LOW,1.0,0.1575
8,1,2,44.12,WRONG PARKING,1.5,1,HIGH,1.0,66.18
8,2,36,17.76,WRONG PARKING,0.030277,0,LOW,1.0,0.5377
8,3,7,4.76,PARKING IN A MAIN ROAD,0.109697,0,LOW,1.0,0.5222
8,4,1,4.5,PARKING IN A MAIN ROAD,0.036384,1,LOW,1.0,0.1637
8,5,29,4.07,NO PARKING,0.038595,1,LOW,1.0,0.1571
9,1,2,44.12,WRONG PARKING,1.5,1,HIGH,1.0,66.18
9,2,36,16.44,WRONG PARKING,0.030277,0,LOW,1.0,0.4978
9,3,7,4.23,PARKING IN A MAIN ROAD,0.109697,0,LOW,1.0,0.464
9,4,1,4.39,PARKING IN A MAIN ROAD,0.036384,1,LOW,1.0,0.1597
9,5,29,4.03,NO PARKING,0.038595,1,LOW,1.0,0.1555
10,1,2,44.12,WRONG PARKING,1.5,1,HIGH,1.0,66.18
10,2,7,3.99,PARKING IN A MAIN ROAD,0.109697,0,LOW,1.0,0.4377
10,3,36,12.44,WRONG PARKING,0.030277,0,LOW,1.0,0.3766
10,4,1,4.42,PARKING IN A MAIN ROAD,0.036384,1,LOW,1.0,0.1608
10,5,29,3.98,NO PARKING,0.038595,1,LOW,1.0,0.1536
17,1,2,46.64,WRONG PARKING,1.5,1,HIGH,1.0,69.96
17,2,7,5.72,PARKING IN A MAIN ROAD,0.109697,0,LOW,1.0,0.6275
17,3,36,17.55,WRONG PARKING,0.030277,0,LOW,1.0,0.5314
17,4,29,4.7,NO PARKING,0.038595,1,LOW,1.0,0.1814
17,5,1,4.91,PARKING IN A MAIN ROAD,0.036384,1,LOW,1.0,0.1786
18,1,2,46.64,WRONG PARKING,1.5,1,HIGH,1.0,69.96
18,2,7,5.72,PARKING IN A MAIN ROAD,0.109697,0,LOW,1.0,0.6275
18,3,36,17.55,WRONG PARKING,0.030277,0,LOW,1.0,0.5314
18,4,29,4.7,NO PARKING,0.038595,1,LOW,1.0,0.1814
18,5,1,4.91,PARKING IN A MAIN ROAD,0.036384,1,LOW,1.0,0.1786
19,1,2,60.4,WRONG PARKING,1.5,1,HIGH,1.0,90.6
19,2,7,7.36,PARKING IN A MAIN ROAD,0.109697,0,LOW,1.0,0.8074
19,3,36,17.08,WRONG PARKING,0.030277,0,LOW,1.0,0.5171
19,4,39,7.79,WRONG PARKING,0.026418,0,LOW,1.0,0.2058
19,5,29,4.81,NO PARKING,0.038595,1,LOW,1.0,0.1856
20,1,2,60.4,WRONG PARKING,1.5,1,HIGH,1.0,90.6
20,2,7,7.26,PARKING IN A MAIN ROAD,0.109697,0,LOW,1.0,0.7964
20,3,36,17.08,WRONG PARKING,0.030277,0,LOW,1.0,0.5171
20,4,39,7.39,WRONG PARKING,0.026418,0,LOW,1.0,0.1952
20,5,29,4.33,NO PARKING,0.038595,1,LOW,1.0,0.1671
